;;;;;;;;;;;;;;;;;;;;;;;;;;;Código: F-147-LIME;;;;;;;;;;;;;;;;;;;;;;
;Equipos dados de baja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Versión: 04;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;INVENTARIO EQUIPOS BIOMÉDICOS, INDUSTRIALES Y GASES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INFORMACIÓN GENERAL EQUIPOS;;;;;;;;;;;;;;;REGISTRO HISTÓRICO;;;;;;;;;;;INVENTARIO DE DOCUMENTOS;;;;;;;;INFORMACIÓN METROLÓGICA ADMINISTRATIVA;;;;INFORMACIÓN METROLÓGICA TÉCNICA;;;;;CONDICIONES DE FUNCIONAMIENTO;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Proceso;Nombre del equipo;Código de inventario interno del laboratorio y/o asignado por UdeA;Código IPS;Código ECRI;Responsable del proceso en el que interviene el equipo o inventario UdeA;Ubicación física;Marca;Modelo;Serie;Clasificación según eje misional (Docencia y/o Investigación y/o Extensión);Clasificación IPS (IND-BIO-Gases);Clasificación por riesgo;Registro Invima/Permiso comercialización/No Requiere;Tiempo de vida útil;Antigüedad del eq. (F. adquisición);Propietario del equipo;Fecha de fabricación;NIT;Proveedor equipo;Está en garantía (Si/No);Fecha finalización garantía;Forma de adquisición;Tipo de documento;Número de documento;Valor de compra;Hoja de vida;Registro de importación;Manual operación (Esp);Manual servicio mto (Esp);Guía Rápida de uso;Instructivo de manejo rápido de equipos;Protocolo Mto Prev.;Frecuencia metrológica fabricante;Mantenimiento Si/No;Frecuencia anual mantenimiento;Calibración Si/No;Frecuencia anual calibración;Magnitud;Rango del equipo;Resolución;Rango de trabajo;Error máximo permitido;Voltaje;Corriente;Humedad relativa;Temperatura;Dimensiones;Peso;Otros
LIME;Congelador;135306;Pendiente;15 - 583;Gloria Zapata / Gloria Zapata;Procesamiento Seccion C;Challenger;CV430;9053127;;IND;N/A;N/A;;10/12/2009;UdeA;NI;890.934.939-8;Almacén Navarro Ospina S.A.;No;N/A;Compra;Factura;47736;;SI;;SI;;;;;;Si;1;Si;1 (Calificación);Temperatura;T -18;NI;0 a - 33 ° C;NI;115 VAC;NI;NI;Max 38°C;53,5 x 53 x 142 cm;55,5 kg;NI
LIME - Hematología;Agregometro;119325;BIO-12183;NI;Gloria Zapata / Gloria Zapata;Procesamiento Seccion A;Helena Laboratories;AGGRAM;630604801;Extensión;BIO;Clase IIa;INVIMA 2019DM-0019614;10 años;30/3/2006;UdeA;NI;830.064.712-1;Helena Laboratories INC. (exportador)                  Labtronics S.A.S    ;No;N/A;Compra;Factura;96442;$ 35.215.642;SI;SI;SI (ing);Carta de proveedor de no entrega de manual;SI;SI;NO;Anual;Si;1;No;N/A;Absorbancia;0 - 2 DE ;NI;0 - 2 DE ;NI;110 VAC;NI;NI;15 - 30 °C;15,24 cm x 25,40 cm x 43,18 cm (alto x ancho x profundidad);6,75 Kg;Frecuencia 50/60 Hz
LIME - Hematología;Centrífuga refrigerada;130937;BIO-12186;10 - 780;Gloria Zapata / Gloria Zapata;Área centrífugas;BOECO - HETTICH;U-320R;0000189;Extensión;BIO;Clase IIa;INVIMA 2014DM-0011507;10 años;2/12/2008;UdeA;2008;811.033.098-5;Importecnical Ltda.;No;N/A;Compra;Factura;006093;$ 22.620.000;SI;NO;NO;NO;SI;SI;SI;Semestral;Si;2;Si;2;"Velocidad
Temperatura";Max. 15000 rpm (según folleto)               Max. 5000 rpm (evidencia)                             T -20 a 40°C;10 rpm                    1°C                                                                                                                 ;1000 - 4500 rpm;NI;200 - 240 V;4 A;NI;NI;346 x 401 x 695 mm;53 kg;NI
